[LOG] [Sat Apr 26 20:46:50 2025] Log Init. 
[LOG] [Sat Apr 26 20:46:50 2025] Engine pre initialization complete. 
[LOG] [Sat Apr 26 20:46:50 2025] DirectXRenderingEngine pre initialization complete. 
[LOG] [Sat Apr 26 20:46:50 2025] InitWindows complete. 
[SUCCESS] [Sat Apr 26 20:46:50 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:50 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:50 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:50 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:50 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:50 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:50 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:50 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:50 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:50 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:50 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:50 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:50 2025] Success ! 
[LOG] [Sat Apr 26 20:46:50 2025] DirectXRenderingEngine initialization complete. 
[LOG] [Sat Apr 26 20:46:50 2025] Engine initialization complete. 
[LOG] [Sat Apr 26 20:46:50 2025] Engine post initialization complete. 
[LOG] [Sat Apr 26 20:46:50 2025] Engine post initialization complete. 
[SUCCESS] [Sat Apr 26 20:46:50 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:50 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:50 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:50 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:50 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:50 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:50 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:50 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:50 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:50 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:50 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:50 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:50 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:50 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:50 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:50 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:50 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:50 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:50 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:50 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:50 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:50 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:51 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:51 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:51 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:51 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:51 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:51 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:51 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:51 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:51 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:51 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:51 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:51 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:51 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:51 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:51 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:51 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:51 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:51 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:51 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:51 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:51 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:51 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:51 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:51 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:51 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:51 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:51 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:51 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:51 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:51 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:51 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:51 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:51 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:51 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:51 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:51 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:51 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:51 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:51 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:51 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:51 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:51 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:51 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:51 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:51 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:51 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:51 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:51 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:51 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:51 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:51 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:51 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:51 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:51 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:51 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:51 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:51 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:51 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:51 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:51 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:51 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:51 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:51 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:51 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:51 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:51 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:51 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:51 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:51 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:51 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:51 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:51 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:51 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:51 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:51 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:51 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:51 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:51 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:51 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:51 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:51 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:51 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:51 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:51 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:51 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:51 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:51 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:51 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:51 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:51 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:51 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:51 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:51 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:51 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:51 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:51 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:51 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:51 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:51 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:51 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:51 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:51 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:51 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:51 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:51 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:51 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:51 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:51 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:51 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:51 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:51 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:51 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:51 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:51 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:51 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:51 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:51 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:51 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:51 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:51 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:51 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:51 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:51 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:51 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:51 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:51 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:51 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:51 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:51 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:51 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:51 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:51 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:51 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:51 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:51 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:51 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:51 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:51 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:51 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:51 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:51 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:51 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:51 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:51 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:51 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:51 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:51 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:51 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:51 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:51 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:51 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:51 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:51 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:51 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:51 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:52 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:52 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:52 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:52 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:52 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:52 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:52 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:52 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:52 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:52 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:52 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:52 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:52 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:52 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:52 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:52 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:52 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:52 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:52 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:52 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:52 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:52 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:52 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:52 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:52 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:52 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:52 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:52 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:52 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:52 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:52 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:52 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:52 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:52 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:52 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:52 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:52 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:52 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:52 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:52 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:52 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:52 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:52 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:52 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:52 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:52 2025] Success ! 
[SUCCESS] [Sat Apr 26 20:46:52 2025] Success ! 
